unit_id,modon_status,sakneen_status,issue
WY-WW-35C,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C406,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C403,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C306,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C303,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C207,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C206,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C203,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C107,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C106,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C105,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C006,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C005,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-C003,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-BL08,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-BL06,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-BL05,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B408,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B407,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B404,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B207,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B204,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-B007,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-12-A108,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-11-BL11,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-11-AL03,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-11-A106,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-11-A105,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BO-11-A006,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-04-A405,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-04-A305,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-04-A301,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-04-A201,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-04-A102,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C405,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C308,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C307,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C306,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C208,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C207,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C206,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C205,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C106,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-22-C104,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-B405,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-B305,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-B205,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-B105,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-A303,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-A204,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-A203,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-A105,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
WY-BP-19-A103,Not Available (has EOI),Available,Unit has EOI in Modon but shows as Available in Sakneen
